instruction,output,category
¿Cuál es la diferencia entre una emergencia y una urgencia?,"Una emergencia es una situación que se presenta de forma repentina y requiere atención inmediata porque hay alto riesgo para la vida. Una urgencia también se presenta repentinamente, pero sin riesgo de vida, y puede requerir asistencia médica dentro de un tiempo razonable (2 o 3 horas).",conceptos_basicos
"Mi vecino se cayó y se torció el tobillo, ¿es una emergencia o una urgencia?","Sería una urgencia, ya que no hay riesgo de vida, pero sí requiere atención médica dentro de un tiempo razonable (2 a 3 horas).",conceptos_basicos
¿Qué son los primeros auxilios?,Son la primera ayuda que se presta a una persona que ha sufrido un accidente o una enfermedad repentina. El estado y evolución de las lesiones dependen en gran parte de la rapidez y calidad de los primeros auxilios recibidos.,conceptos_basicos
¿Qué materiales debe tener un botiquín de primeros auxilios?,"Debe tener: gasas estériles, vendas, esparadrapo, guantes de un solo uso, tijeras y pinzas, linterna, libreta y lápiz, lista de teléfonos de emergencia, termómetro digital, algodón, agua oxigenada, alcohol yodado, paracetamol, baja lenguas, jabón líquido y tablillas para férula de inmovilización.",conceptos_basicos
¿Dónde debería guardar el botiquín en mi casa si tengo niños pequeños?,El botiquín debe ubicarse fuera del alcance de los niños y organizarse en una caja bien señalizada. Es importante organizarlo con el asesoramiento del profesional del establecimiento de salud cercano.,conceptos_basicos
¿Qué significa el sistema P.A.S. en primeros auxilios?,"P.A.S. significa Proteger, Avisar y Socorrer. Proteger: al accidentado, a uno mismo y a los demás. Avisar: a los servicios de emergencia, informando la dirección exacta, referencia y número de accidentados, tipo de víctimas y lesiones (por ejemplo, 106 del SAMU o 116 de bomberos). Socorrer: al accidentado o herido, manteniendo la calma.",principios_basicos
"Encontré a una persona accidentada en la calle, ¿qué debo hacer primero según el protocolo oficial?","Debes seguir el sistema P.A.S.: primero Proteger (a ti mismo, al accidentado y a los demás, asegurándote de que no existan más peligros), luego Avisar a los servicios de emergencia con la dirección exacta, y finalmente Socorrer manteniendo la calma.",principios_basicos
¿Qué NO debo hacer si encuentro a alguien inconsciente?,"No debes darle de comer ni de beber a una persona inconsciente, no debes medicarla, no debes abandonar al herido y no debes moverlo innecesariamente.",principios_basicos
¿Por qué es importante lavarse las manos antes de dar primeros auxilios?,"Porque hay que lavar las manos con agua y jabón antes y después de la actuación para evitar infecciones. De ser posible, siempre se deben proteger las manos con guantes y usar material desechable de un solo uso, evitando el contacto directo con la sangre, saliva u otros fluidos del accidentado.",principios_basicos
¿Qué signos vitales debo evaluar en una persona accidentada?,"Debes evaluar el pulso, la respiración y el estado de conciencia. Pregúntale: '¿Qué le pasa? ¿Me oye? ¿Se encuentra bien?'. Si contesta, mantiene los signos vitales. Si no contesta, evalúa los signos vitales y, de no haberlos, procede con RCP.",principios_basicos
"Alguien tuvo un accidente y no reacciona cuando le hablo, ¿qué significa esto?","Si la víctima no contesta, debes evaluar sus signos vitales (pulso, respiración, conciencia). Si no los tiene, se debe proceder con la reanimación cardiopulmonar (RCP) mientras se avisa a los servicios de emergencia.",principios_basicos
¿Cómo se clasifican las heridas según su gravedad?,"Se clasifican en heridas leves, que solo afectan la capa más superficial de la piel, y heridas graves, que afectan capas profundas, órganos internos, presentan hemorragias, son muy extensas o sucias, tienen cuerpos extraños, o llevan más de seis horas de producidas.",heridas
"Me hice un corte pequeño en la mano, ¿cómo lo cuido?","Lávate las manos con agua y jabón, lava la herida con agua y jabón (no uses alcohol u otro líquido, ya que retrasan la cicatrización), y cubre la herida con una gasa estéril fijándola con esparadrapo.",heridas
"El perro de mi vecino me mordió, ¿qué debo hacer?","Si la herida fue por mordedura de animal, habla con el dueño y verifica que el animal esté vacunado. Luego acude al establecimiento de salud más cercano.",heridas
"Tengo una herida profunda con un objeto clavado, ¿lo debo sacar?","No. Ante una herida grave, no debes extraer cuerpos extraños; sujétalos para evitar que se muevan y no indagues dentro de la herida. Coloca una gasa húmeda estéril, realiza un vendaje improvisado y traslada al paciente al establecimiento de salud más cercano.",heridas
¿Qué hago si tengo una herida muy extensa y profunda?,No trates de curarla tú mismo; solo coloca una compresa o gasa si hay hemorragia y acude de inmediato al establecimiento de salud. Recuerda que debes recibir la vacuna antitetánica si no te la has puesto antes.,heridas
¿Cuándo se considera que una herida es grave?,"Se considera grave cuando afecta capas profundas de la piel, afecta órganos internos, presenta hemorragia, es muy extensa o sucia, tiene cuerpos extraños, o cuando han pasado más de seis horas desde que se produjo.",heridas
¿Cómo controlo una hemorragia externa?,"Primero, aplica presión directa sobre la herida con una gasa o tela limpia, protegiéndote con guantes. Si la herida deja de sangrar o es muy grande, aplica una compresa de hielo con presión directa por 10 minutos. Segundo, eleva la parte lesionada si está en un brazo o pierna. Tercero, nunca retires la primera gasa esterilizada.",hemorragias
¿Cómo diferencio una hemorragia arterial de una venosa?,La hemorragia arterial tiene color rojo vivo y sale a gran presión. La hemorragia venosa tiene color rojo violáceo y sale de forma lenta y continua a menor presión. Las hemorragias capilares son de color rojo y salen desde pequeños puntos continuamente.,hemorragias
"Me está sangrando la nariz, ¿qué hago?","Inclina la cabeza hacia atrás y presiona la nariz con los dedos pulgar e índice. Si después de unos minutos de presión la hemorragia no cede, coloca una gasa humedecida con agua limpia y acude a un establecimiento de salud.",hemorragias
¿Cómo sé si alguien tiene una hemorragia interna?,"La hemorragia interna se produce dentro del organismo, sin salida al exterior, y su peligro es que puede pasar desapercibida. Los síntomas incluyen disminución de la temperatura, abdomen muy sensible o rígido, mareo, pérdida de conciencia y palidez.",hemorragias
"Sospecho que alguien tiene una hemorragia interna después de un golpe fuerte, ¿qué hago?","Traslada a la persona tan pronto sea posible, abrígala para que no pierda calor, colócala con los pies elevados, manténla cómoda, y voltéale la cabeza hacia un lado si no se sospecha de una lesión de cuello.",hemorragias
¿Qué causa un hematoma y cómo lo trato?,Los hematomas se producen por golpes leves que rompen pequeños vasos debajo de la piel (hemorragia capilar). Debes poner una bolsa de hielo sobre la piel; el frío contrae los vasos sanguíneos y hace que el hematoma sea menor.,hemorragias
¿Qué es una intoxicación según la cartilla del MINSA?,"Es la reacción del organismo a la entrada de cualquier sustancia tóxica, como raticidas, plaguicidas, líquidos de limpieza o medicamentos no recetados, que se pueden ingerir, respirar o tener contacto con la piel.",intoxicaciones
